name,pos,ang,sca,coll
3rdHouse2.X,292.09/65.82/-78.65002,0.000000/0.737277/0.000000/0.675590,1/1/1,0,0
3rdHouse.X,291.18/65.53/-88.13001,0.000000/0.737277/0.000000/0.675590,1/1/1,0,0
3rdHouse2.X,290.36/65.82/-97.96003,0.000000/0.737277/0.000000/0.675590,1/1/1,0,0
3rdHouse.X,289.46/65.53/-108.06,0.000000/0.737277/0.000000/0.675590,1/1/1,0,0
3rdHouse.X,297.18/65.53/-20.23,0.000000/0.737277/0.000000/0.675590,1/1/1,0,0
3rdHouse2.X,296.41/65.82/-29.72,0.000000/0.737277/0.000000/0.675590,1/1/1,0,0
3rdHouse.X,295.5/65.53/-39.2,0.000000/0.737277/0.000000/0.675590,1/1/1,0,0
3rdHouse2.X,294.68/65.82/-49.03001,0.000000/0.737277/0.000000/0.675590,1/1/1,0,0
3rdHouse.X,293.78/65.53/-59.13001,0.000000/0.737277/0.000000/0.675590,1/1/1,0,0
3rdHouse2.X,288.53/65.82/-118.79,0.000000/0.737277/0.000000/0.675590,1/1/1,0,0
3rdHouse.X,287.62/65.53/-128.27,0.000000/0.737277/0.000000/0.675590,1/1/1,0,0
3rdHouse2.X,286.8/65.82/-138.1,0.000000/0.737277/0.000000/0.675590,1/1/1,0,0
3rdHouse.X,155.9/65.53/-153.9,0.000000/0.737277/0.000000/0.675590,1/1/1,0,0
3rdHouse2.X,155/65.82/-164,0.000000/0.737277/0.000000/0.675590,1/1/1,0,0
3rdHouse.X,285.9/65.53/-148.2,0.000000/0.737277/0.000000/0.675590,1/1/1,0,0
3rdHouse.X,134.8/65.53/-55.3,0.000000/0.737277/0.000000/0.675590,1/1/1,0,0
3rdHouse2.X,134.03/65.82/-64.79,0.000000/0.737277/0.000000/0.675590,1/1/1,0,0
3rdHouse.X,133.12/65.53/-74.27,0.000000/0.737277/0.000000/0.675590,1/1/1,0,0
3rdHouse2.X,138.5/65.82/-84.60001,0.000000/0.737277/0.000000/0.675590,1/1/1,0,0
3rdHouse.X,137.6/65.53/-94.7,0.000000/0.737277/0.000000/0.675590,1/1/1,0,0
3rdHouse.X,157.7/65.53/-133.3,0.000000/0.737277/0.000000/0.675590,1/1/1,0,0
3rdHouse.X,139.12/65.53/-6.369987,0.000000/0.737277/0.000000/0.675590,1/1/1,0,0
3rdHouse2.X,158.6/65.82/-123.2,0.000000/0.737277/0.000000/0.675590,1/1/1,0,0
3rdHouse2.X,138.35/65.82/-15.85999,0.000000/0.737277/0.000000/0.675590,1/1/1,0,0
3rdHouse.X,137.44/65.53/-25.33999,0.000000/0.737277/0.000000/0.675590,1/1/1,0,0
3rdHouse2.X,136.62/65.82/-35.17,0.000000/0.737277/0.000000/0.675590,1/1/1,0,0
3rdHouse.X,135.72/65.53/-45.27,0.000000/0.737277/0.000000/0.675590,1/1/1,0,0
3rdHouse2.X,136.67/65.82/-105.43,0.000000/0.737277/0.000000/0.675590,1/1/1,0,0
3rdHouse.X,135.76/65.53/-114.91,0.000000/0.737277/0.000000/0.675590,1/1/1,0,0
3rdHouse2.X,134.94/65.82/-124.74,0.000000/0.737277/0.000000/0.675590,1/1/1,0,0
fence_a.X,217.86/66.47/-33.18,0.521334/0.521334/0.477714/0.477714,1.000001/1.000001/1.000001,0,0
fence_a.X,220.47/66.47/-33.41,0.521334/0.521334/0.477714/0.477714,1.000001/1.000001/1.000001,0,0
fence_a.X,223.06/66.47/-33.64,0.521334/0.521334/0.477714/0.477714,1.000001/1.000001/1.000001,0,0
fence_a.X,216.05/66.47/-23.7,0.521334/0.521334/0.477714/0.477714,1.000001/1.000001/1.000001,0,0
fence_a.X,223.87/66.47/-24.39,0.521334/0.521334/0.477714/0.477714,1.000001/1.000001/1.000001,0,0
Tent.X,219.36/66.09/-30.32,-0.706434/0.030844/0.030844/0.706434,1/1/1,0,0
Food_A.X,217.73/65.98/-30.86,-0.706434/0.030844/0.030844/0.706434,1/1/1,0,0
Food_A.X,217.21/65.98/-30.81,-0.706434/0.030844/0.030844/0.706434,1/1/1,0,0
Food_A.X,217.73/66.184/-30.86,-0.706434/0.030844/0.030844/0.706434,1/1/1,0,0
Food_A.X,217.73/66.388/-30.86,-0.706434/0.030844/0.030844/0.706434,1/1/1,0,0
fence_a.X,215.24/66.47/-32.95,0.521334/0.521334/0.477714/0.477714,1/1/1,0,0
Food_A.X,217.209/66.184/-30.814,-0.706434/0.030844/0.030844/0.706434,1/1/1,0,0
Food_A.X,217.203/66.388/-30.814,-0.706434/0.030844/0.030844/0.706434,1/1/1,0,0
Food_A.X,217.64/65.98/-31.887,-0.706434/0.030844/0.030844/0.706434,1/1/1,0,0
Food_A.X,217.12/65.98/-31.837,-0.706434/0.030844/0.030844/0.706434,1/1/1,0,0
Food_A.X,217.64/66.184/-31.887,-0.706434/0.030844/0.030844/0.706434,1/1/1,0,0
Food_A.X,217.64/66.388/-31.887,-0.706434/0.030844/0.030844/0.706434,1/1/1,0,0
Food_A.X,217.119/66.184/-31.841,-0.706434/0.030844/0.030844/0.706434,1/1/1,0,0
Food_A.X,217.113/66.388/-31.841,-0.706434/0.030844/0.030844/0.706434,1/1/1,0,0
Food_A.X,221.601/65.98/-31.198,-0.706434/0.030844/0.030844/0.706434,1/1/1,0,0
Food_A.X,221.081/65.98/-31.148,-0.706434/0.030844/0.030844/0.706434,1/1/1,0,0
Food_A.X,221.601/66.184/-31.198,-0.706434/0.030844/0.030844/0.706434,1/1/1,0,0
Food_A.X,221.601/66.388/-31.198,-0.706434/0.030844/0.030844/0.706434,1/1/1,0,0
Food_A.X,221.08/66.184/-31.152,-0.706434/0.030844/0.030844/0.706434,1/1/1,0,0
Food_A.X,221.074/66.388/-31.152,-0.706434/0.030844/0.030844/0.706434,1/1/1,0,0
Food_A.X,221.511/65.98/-32.225,-0.706434/0.030844/0.030844/0.706434,1/1/1,0,0
Food_A.X,220.991/65.98/-32.175,-0.706434/0.030844/0.030844/0.706434,1/1/1,0,0
Food_A.X,221.511/66.184/-32.225,-0.706434/0.030844/0.030844/0.706434,1/1/1,0,0
Food_A.X,221.511/66.388/-32.225,-0.706434/0.030844/0.030844/0.706434,1/1/1,0,0
Food_A.X,220.99/66.184/-32.179,-0.706434/0.030844/0.030844/0.706434,1/1/1,0,0
Food_A.X,220.984/66.388/-32.179,-0.706434/0.030844/0.030844/0.706434,1/1/1,0,0
hunsui.X,205.4/65.94/-58.65,0.000000/0.000000/0.000000/1.000000,1/1/1,0,0
