name,pos,ang,sca
fence_a.X,351.88/63.31/-1286.19,0.3251369/182.0222/91.46912,1/1/1
fence_a.X,351.58/63.21/-1297.89,0.3251369/182.0222/91.46912,1/1/1
fence_a.X,351.48/63.21/-1300.59,0.3251369/182.0222/91.46912,1/1/1
fence_a.X,351.68/63.21/-1294.79,0.3251369/182.0222/91.46912,1/1/1
fence_a.X,351.68/63.31/-1291.89,0.3251369/182.0222/91.46912,1/1/1
fence_a.X,350.88/63.11/-1315.29,0.3251369/182.0222/91.46912,1/1/1
fence_a.X,350.88/63.11/-1318.19,0.3251369/182.0222/91.46912,1/1/1
fence_a.X,350.68/63.11/-1323.99,0.3251369/182.0222/91.46912,1/1/1
fence_a.X,350.78/63.21/-1321.29,0.3251369/182.0222/91.46912,1/1/1
fence_a.X,351.18/63.11/-1309.59,0.3251369/182.0222/91.46912,1/1/1
fence_a.X,350.98/63.21/-1312.39,0.3251369/182.0222/91.46912,1/1/1
fence_a.X,351.28/63.21/-1306.49,0.3251369/182.0222/91.46912,1/1/1
fence_a.X,351.38/63.21/-1303.69,0.3251369/182.0222/91.46912,1/1/1
fence_a.X,352.99/63.46/-1256.9,0.3251369/182.0222/91.46913,1/1/1
fence_a.X,352.89/63.46/-1259.7,0.3251369/182.0222/91.46913,1/1/1
fence_a.X,352.59/63.46/-1265.6,0.3251369/182.0222/91.46913,1/1/1
fence_a.X,352.79/63.36/-1262.8,0.3251369/182.0222/91.46913,1/1/1
fence_a.X,352.39/63.46/-1274.5,0.3251369/182.0222/91.46913,1/1/1
fence_a.X,352.29/63.36/-1277.2,0.3251369/182.0222/91.46913,1/1/1
fence_a.X,352.49/63.36/-1271.4,0.3251369/182.0222/91.46913,1/1/1
fence_a.X,352.49/63.36/-1268.5,0.3251369/182.0222/91.46913,1/1/1
fence_a.X,353.09/63.46/-1253.8,0.3251369/182.0222/91.46913,1/1/1
fence_a.X,353.19/63.46/-1251.1,0.3251369/182.0222/91.46913,1/1/1
fence_a.X,372.07/63.73/-1256.55,0/110/90,1.000001/1/1.000001
fence_a.X,369.22/63.73/-1255.51,0/110/90,1.000001/1/1.000001
fence_a.X,363.59/63.73/-1253.46,0/110/90,1.000001/1/1.000001
fence_a.X,366.44/63.73/-1254.5,0/110/90,1.000001/1/1.000001
fence_a.X,357.92/63.73/-1251.4,0/110/90,1.000001/1/1.000001
fence_a.X,360.77/63.73/-1252.44,0/110/90,1.000001/1/1.000001
fence_a.X,355.05/63.73/-1250.35,0/110/90,1.000001/1/1.000001
Well.X,387.1/62/-1296.03,270/0/0,1/1/1
fence_a.X,418.64/63.73/-1273.48,0/110/90,1.000001/1/1.000001
fence_a.X,419.46/63.73/-1275.34,5.976416E-06/193.2148/90,1/1/1.000001
fence_a.X,418.79/63.73/-1278.18,5.976416E-06/193.2148/90,1/1/1.000001
fence_a.X,418.12/63.73/-1281.04,5.976416E-06/193.2148/90,1/1/1.000001
fence_a.X,417.47/63.73/-1283.79,5.976416E-06/193.2148/90,1/1/1.000001
fence_a.X,418.96/63.73/-1285.29,-1.024528E-05/92.4654/90,1/1/1
fence_a.X,421.78/63.73/-1285.41,-1.024528E-05/92.4654/90,1/1/1
fence_a.X,424.79/63.73/-1285.54,-1.024528E-05/92.4654/90,1/1/1
fence_a.X,433.43/63.73/-1285.92,-1.024528E-05/92.4654/90,1/1/1
fence_a.X,430.42/63.73/-1285.79,-1.024528E-05/92.4654/90,1/1/1
fence_a.X,427.6/63.73/-1285.67,-1.024528E-05/92.4654/90,1/1/1
fence_a.X,436.38/63.73/-1286.05,-1.024528E-05/92.4654/90,1/1/1
fence_a.X,439.2/63.73/-1286.17,-1.024528E-05/92.4654/90,1/1/1
fence_a.X,442.21/63.73/-1286.3,-1.024528E-05/92.4654/90,1/1/1
fence_a.X,440.71/63.73/-1321.4,-1.024528E-05/92.4654/90,1/1/1
fence_a.X,437.7/63.73/-1321.27,-1.024528E-05/92.4654/90,1/1/1
fence_a.X,434.88/63.73/-1321.15,-1.024528E-05/92.4654/90,1/1/1
fence_a.X,426.1/63.73/-1320.77,-1.024528E-05/92.4654/90,1/1/1
fence_a.X,428.92/63.73/-1320.89,-1.024528E-05/92.4654/90,1/1/1
fence_a.X,431.93/63.73/-1321.02,-1.024528E-05/92.4654/90,1/1/1
fence_a.X,423.29/63.73/-1320.64,-1.024528E-05/92.4654/90,1/1/1
fence_a.X,420.28/63.73/-1320.51,-1.024528E-05/92.4654/90,1/1/1
fence_a.X,417.46/63.73/-1320.39,-1.024528E-05/92.4654/90,1/1/1
fence_a.X,399.11/63.03/-1326.83,1.000003/90/90,1/1/1
fence_a.X,414.56/63.73/-1320.27,-1.024528E-05/92.4654/90,1/1/1
fence_a.X,413.29/63.73/-1321.48,-1.280661E-06/357.8711/90.00002,1/1/1
fence_a.X,413.4/63.73/-1324.42,-1.280661E-06/357.8711/90.00002,1.000001/1.000001/1
fence_a.X,402.05/62.98/-1326.83,1.000003/90/90,1.000001/1.000001/1.000001
fence_a.X,405.01/62.93/-1326.83,1.000003/90/90,1.000001/1.000001/1.000001
fence_a.X,407.89/62.88/-1326.83,1.000003/90/90,1.000001/1.000001/1.000001
fence_a.X,410.85/62.83/-1326.83,1.000003/90/90,1.000001/1.000001/1.000001
